Season,TeamID,Rating
2020,3238,65.87
2018,3370,65.92
2017,3214,66.02
2016,3421,66.13
2023,3368,66.27
2020,3359,66.33
2019,3406,66.57
2018,3169,66.59
2021,3219,66.65
2023,3313,66.68
2023,3399,66.81
2019,3352,66.86
2021,3273,66.89
2016,3146,66.93
2019,3308,66.98
2021,3299,67.23
2022,3107,67.45
2023,3436,67.45
2023,3233,67.49
2018,3384,67.54
2020,3126,67.56
2023,3221,67.66
2017,3146,68.04
2016,3407,68.25
2022,3255,68.38
2021,3238,68.54
2020,3394,68.95
2022,3110,69.26
2020,3413,69.52
2023,3218,69.63
2022,3286,69.64
2018,3251,69.68
2021,3392,69.7
2023,3381,69.71
2020,3352,69.9
2023,3205,69.9
2016,3239,69.99
2019,3347,70.15
2022,3218,70.23
2017,3407,70.54
2021,3250,70.71
2020,3351,70.72
2020,3392,70.74
2017,3308,70.78
2021,3265,71.03
2017,3286,71.12
2016,3138,71.12
2016,3233,71.24
2017,3253,71.27
2021,3180,71.28
2016,3308,71.42
2018,3110,71.55
2017,3442,71.83
2023,3387,71.98
2017,3107,72.03
2019,3340,72.17
2020,3245,72.21
2017,3137,72.37
2018,3129,72.44
2016,3125,72.64
2016,3225,72.69
2021,3461,72.72
2023,3170,72.81
2020,3369,72.86
2022,3193,72.91
2021,3407,72.97
2020,3339,73.11
2017,3129,73.12
2023,3241,73.16
2022,3426,73.23
2021,3292,73.3
2017,3125,73.32
2018,3263,73.34
2022,3229,73.52
2018,3114,73.64
2021,3413,73.69
2021,3433,73.78
2022,3273,73.84
2016,3218,74.1
2021,3460,74.15
2019,3114,74.2
2019,3273,74.21
2016,3362,74.26
2020,3407,74.75
2018,3203,75.17
2020,3180,75.35
2023,3187,75.4
2022,3238,75.51
2019,3263,75.68
2016,3283,75.75
2017,3335,75.79
2020,3129,75.81
2021,3125,75.93
2019,3129,75.97
2022,3150,75.98
2022,3174,76.21
2019,3200,76.21
2017,3151,76.21
2017,3405,76.26
2019,3460,76.28
2016,3151,76.47
2020,3286,76.48
2019,3137,76.6
2019,3155,76.62
2022,3424,76.65
2018,3294,76.66
2021,3226,76.71
2020,3137,76.74
2019,3413,76.81
2017,3195,76.81
2021,3133,76.82
2021,3141,77.0
2017,3320,77.1
2017,3346,77.11
2016,3382,77.32
2020,3330,77.34
2023,3156,77.38
2019,3140,77.39
2019,3349,77.62
2020,3173,77.71
2017,3189,77.86
2020,3237,77.87
2023,3339,77.99
2023,3385,78.1
2016,3292,78.25
2017,3173,78.32
2019,3283,78.39
2018,3195,78.55
2016,3335,78.59
2020,3349,78.67
2018,3273,78.69
2022,3437,78.78
2016,3119,79.02
2020,3141,79.19
2018,3443,79.3
2022,3237,79.3
2020,3166,79.42
2017,3179,79.43
2018,3179,79.56
2022,3269,79.69
2017,3266,79.73
2018,3189,79.75
2018,3304,79.79
2023,3228,79.8
2019,3195,79.84
2018,3346,79.85
2018,3173,79.88
2019,3416,79.89
2017,3166,79.96
2019,3125,79.97
2018,3125,79.98
2021,3140,79.99
2023,3405,79.99
2016,3355,80.11
2016,3161,80.15
2016,3120,80.17
2016,3140,80.17
2019,3343,80.23
2022,3125,80.24
2017,3443,80.25
2022,3138,80.26
2023,3179,80.27
2016,3243,80.28
2019,3314,80.36
2017,3120,80.45
2019,3346,80.5
2022,3177,80.54
2019,3120,80.68
2016,3182,80.74
2022,3450,80.76
2018,3343,80.84
2016,3107,80.9
2022,3173,80.91
2023,3424,80.95
2018,3166,80.95
2017,3261,80.97
2020,3345,81.02
2019,3243,81.06
2017,3211,81.07
2018,3138,81.12
2021,3372,81.22
2017,3396,81.23
2022,3196,81.32
2017,3235,81.33
2018,3141,81.36
2022,3199,81.39
2021,3355,81.43
2018,3438,81.44
2018,3437,81.44
2018,3211,81.47
2023,3345,81.65
2022,3372,81.68
2021,3195,81.69
2016,3371,81.76
2023,3452,81.82
2021,3416,81.85
2022,3283,81.86
2019,3179,81.87
2020,3179,81.89
2020,3261,81.95
2019,3231,81.96
2022,3242,81.99
2017,3345,82.06
2016,3385,82.19
2020,3241,82.21
2022,3243,82.22
2022,3166,82.22
2021,3448,82.23
2023,3280,82.43
2017,3143,82.52
2017,3378,82.58
2021,3314,82.74
2023,3266,82.79
2020,3397,82.85
2016,3231,82.85
2019,3377,82.9
2016,3281,82.9
2016,3203,82.9
2023,3292,82.91
2023,3104,82.91
2023,3195,82.94
2019,3277,83.02
2016,3345,83.02
2016,3241,83.04
2017,3332,83.06
2016,3453,83.06
2022,3274,83.11
2022,3428,83.14
2023,3329,83.17
2022,3195,83.19
2019,3353,83.22
2016,3329,83.28
2016,3196,83.36
2018,3261,83.37
2022,3116,83.4
2021,3277,83.41
2021,3378,83.45
2023,3274,83.49
2021,3377,83.52
2018,3393,83.57
2021,3199,83.63
2021,3450,83.63
2023,3343,83.69
2022,3378,83.73
2021,3266,83.83
2020,3439,83.85
2017,3281,83.86
2018,3278,83.88
2020,3181,83.93
2020,3195,83.98
2023,3378,83.98
2016,3343,84.15
2021,3104,84.22
2018,3355,84.23
2022,3160,84.25
2020,3353,84.26
2017,3277,84.28
2019,3143,84.29
2017,3453,84.36
2017,3301,84.37
2019,3138,84.43
2017,3243,84.48
2023,3425,84.52
2016,3208,84.53
2018,3274,84.59
2023,3211,84.68
2022,3377,84.72
2019,3211,84.76
2019,3276,84.84
2020,3400,84.93
2018,3143,85.11
2020,3283,85.11
2019,3246,85.21
2021,3393,85.25
2022,3304,85.26
2022,3210,85.27
2019,3397,85.4
2023,3208,85.4
2021,3329,85.51
2018,3234,85.55
2022,3208,85.57
2021,3439,85.57
2022,3343,85.61
2020,3266,85.61
2018,3208,85.65
2020,3395,85.67
2017,3328,85.68
2018,3328,85.7
2023,3355,85.75
2020,3235,85.82
2020,3113,85.93
2017,3401,85.97
2018,3329,86.06
2021,3210,86.1
2022,3328,86.15
2019,3141,86.21
2020,3276,86.21
2023,3199,86.22
2022,3279,86.46
2016,3449,86.47
2016,3274,86.51
2020,3326,86.53
2023,3450,86.55
2019,3355,86.59
2023,3124,86.61
2021,3400,86.82
2018,3276,86.86
2018,3266,86.9
2016,3452,87.0
2023,3112,87.05
2019,3199,87.07
2022,3112,87.1
2018,3281,87.15
2021,3452,87.21
2021,3283,87.23
2022,3326,87.24
2023,3160,87.25
2021,3276,87.3
2022,3323,87.32
2023,3279,87.34
2022,3211,87.36
2022,3416,87.39
2019,3281,87.4
2016,3328,87.47
2021,3321,87.51
2018,3301,87.57
2017,3113,87.68
2018,3113,87.74
2023,3276,87.77
2019,3274,87.82
2023,3328,87.9
2020,3234,87.93
2017,3177,87.94
2020,3246,88.01
2020,3211,88.04
2021,3235,88.05
2022,3261,88.09
2022,3246,88.13
2021,3234,88.15
2017,3274,88.19
2018,3401,88.22
2018,3453,88.23
2021,3211,88.24
2019,3401,88.25
2017,3452,88.26
2021,3353,88.28
2019,3113,88.31
2020,3116,88.31
2021,3333,88.34
2019,3235,88.45
2016,3378,88.52
2023,3437,88.55
2018,3378,88.61
2023,3166,88.66
2023,3417,88.67
2019,3393,88.67
2016,3401,88.71
2019,3177,88.87
2017,3397,88.89
2016,3397,88.93
2022,3140,88.95
2021,3246,88.96
2020,3377,89.03
2018,3181,89.06
2022,3397,89.1
2017,3246,89.12
2017,3393,89.29
2022,3332,89.36
2023,3301,89.4
2016,3280,89.46
2020,3199,89.49
2019,3400,89.55
2021,3208,89.56
2019,3417,89.59
2016,3393,89.59
2021,3116,89.59
2020,3177,89.65
2020,3343,89.66
2020,3401,89.67
2023,3314,89.69
2018,3177,89.76
2020,3112,89.79
2021,3397,89.81
2016,3417,89.93
2022,3439,89.97
2016,3277,90.07
2016,3177,90.08
2022,3276,90.12
2023,3181,90.13
2019,3301,90.16
2018,3333,90.25
2020,3321,90.46
2017,3326,90.5
2018,3268,90.6
2022,3314,90.85
2017,3181,90.94
2016,3246,90.97
2023,3326,91.03
2022,3231,91.08
2020,3231,91.15
2019,3376,91.2
2018,3390,91.3
2016,3113,91.32
2022,3268,91.32
2023,3257,91.45
2019,3268,91.47
2016,3199,91.5
2023,3235,91.57
2017,3417,91.74
2018,3397,91.81
2022,3235,91.86
2020,3417,91.89
2019,3234,92.14
2023,3428,92.15
2016,3257,92.24
2017,3257,92.24
2019,3266,92.27
2016,3390,92.4
2020,3333,92.49
2021,3231,92.59
2021,3332,92.67
2018,3199,92.73
2020,3301,93.02
2017,3333,93.24
2019,3333,93.35
2023,3397,93.45
2022,3234,93.5
2021,3401,93.54
2016,3400,93.58
2023,3268,93.6
2023,3323,93.82
2021,3112,93.85
2016,3326,93.9
2018,3326,93.97
2017,3199,94.36
2017,3400,94.37
2023,3400,94.62
2020,3280,94.62
2017,3280,94.69
2017,3449,94.81
2018,3417,94.98
2017,3390,95.07
2022,3400,95.21
2021,3417,95.26
2016,3333,95.42
2019,3390,95.49
2020,3257,95.63
2023,3439,95.72
2021,3257,95.99
2023,3261,96.14
2017,3268,96.27
2018,3376,96.62
2022,3124,96.65
2021,3301,96.71
2020,3390,97.18
2023,3234,97.19
2022,3257,97.4
2018,3332,97.76
2018,3400,98.03
2022,3163,98.35
2023,3163,98.59
2023,3231,98.7
2016,3268,99.01
2019,3257,99.65
2018,3257,99.74
2020,3163,99.8
2021,3268,99.94
2019,3332,100.19
2017,3376,100.32
2023,3390,100.55
2018,3323,101.01
2016,3323,101.07
2016,3376,101.07
2021,3124,101.12
2017,3323,101.2
2020,3268,101.49
2016,3124,101.59
2022,3301,101.78
2021,3376,101.81
2022,3390,101.83
2018,3280,102.16
2019,3280,102.18
2020,3124,104.05
2021,3163,104.26
2017,3124,104.45
2019,3163,104.53
2020,3376,104.92
2018,3124,105.29
2019,3124,105.81
2019,3323,106.24
2022,3376,106.36
2021,3390,106.53
2020,3332,109.1
2023,3376,110.03
2017,3163,111.43
2018,3163,112.83
2016,3163,113.09
